Povpreène meseène plaèe po: SKD DEJAVNOST, OBÈINE, MESEC, MERITVE ,;;;;;
PLAÈE;;;;;
;;;;;
 ; ;; ;Plaèa za mesec [EUR]; 
 ; ;; ;Bruto plaèa;Neto plaèa
SKD Dejavnost - SKUPAJ;;;;;
 ;Ajdovšèina;Leto;Mesec;;
 ; ;2015;Julij;1422.07;938.38
 ;Bloke;;;;
 ; ;2007;Januar;1117.45;760.56
 ; ;2007;Julij;1157.77;785.82
 ; ;2008;Januar;1211.75;821.11
 ; ;2008;Julij;1234.45;833.16
 ; ;2009;Januar;1125.94;764.77
 ; ;2009;Julij;1124.22;765.05
 ; ;2010;Januar;1080.61;736.67
 ; ;2010;Julij;1191.69;800.04
 ; ;2011;Januar;1035.32;710.98
 ; ;2011;Julij;1061.50;735.97
 ; ;2012;Januar;1180.65;806.00
 ; ;2012;Julij;1136.33;791.05
 ; ;2013;Januar;1162.87;794.60
 ; ;2013;Julij;1138.85;786.91
 ; ;2014;Januar;1211.54;828.27
 ; ;2014;Julij;1107.95;762.12
 ; ;2015;Januar;1163.82;791.22
 ; ;2015;Julij;1112.29;766.08
 ;Bohinj;;;;
 ; ;2007;Januar;915.40;625.58
 ; ;2007;Julij;1013.92;689.39
 ; ;2008;Januar;1091.59;742.49
 ; ;2008;Julij;1079.49;733.61
 ; ;2009;Januar;1071.06;730.07
 ; ;2009;Julij;1084.54;741.71
 ; ;2010;Januar;1079.71;732.09
 ; ;2010;Julij;1100.35;747.43
 ; ;2011;Januar;1136.00;778.19
 ; ;2011;Julij;1154.14;789.16
 ; ;2012;Januar;1167.40;797.97
 ; ;2012;Julij;1133.74;780.44
 ; ;2013;Januar;1141.75;789.01
 ; ;2013;Julij;1193.23;817.10
 ; ;2014;Januar;1161.87;792.96
 ; ;2014;Julij;1248.14;862.98
 ; ;2015;Januar;1164.38;795.90
 ; ;2015;Julij;1174.73;805.71
 ;Borovnica;;;;
 ; ;2007;Januar;1105.69;741.47
 ; ;2007;Julij;1131.44;749.46
 ; ;2008;Januar;1179.94;785.64
 ; ;2008;Julij;1148.83;743.65
 ; ;2009;Januar;1137.89;756.22
 ; ;2009;Julij;1129.85;752.16
 ; ;2010;Januar;1152.97;766.93
 ; ;2010;Julij;1193.07;797.81
 ; ;2011;Januar;1206.26;805.85
 ; ;2011;Julij;1262.07;849.76
 ; ;2012;Januar;1530.30;1017.50
 ; ;2012;Julij;1390.37;940.89
 ; ;2013;Januar;1369.12;906.77
 ; ;2013;Julij;1319.67;880.54
 ; ;2014;Januar;1308.46;863.57
 ; ;2014;Julij;1282.84;849.28
 ; ;2015;Januar;1316.11;871.15
 ; ;2015;Julij;1365.95;886.69
 ;Bovec;;;;
 ; ;2007;Januar;1085.74;738.24
 ; ;2007;Julij;1073.53;725.33
 ; ;2008;Januar;1132.33;765.81
 ; ;2008;Julij;1180.18;793.33
 ; ;2009;Januar;1116.24;754.87
 ; ;2009;Julij;1198.57;804.03
 ; ;2010;Januar;1135.48;768.36
 ; ;2010;Julij;1248.26;841.18
 ; ;2011;Januar;1364.71;921.76
 ; ;2011;Julij;1210.49;820.32
 ; ;2012;Januar;1293.17;871.86
 ; ;2012;Julij;1311.12;881.06
 ; ;2013;Januar;1361.26;916.81
 ; ;2013;Julij;1447.77;971.20
 ; ;2014;Januar;1471.60;994.13
 ; ;2014;Julij;1433.98;960.43
 ; ;2015;Januar;1391.10;931.66
 ; ;2015;Julij;1409.40;939.85
 ;Braslovèe;;;;
 ; ;2007;Januar;1067.61;715.49
 ; ;2007;Julij;1057.70;708.27
 ; ;2008;Januar;1115.98;750.32
 ; ;2008;Julij;1232.20;815.34
 ; ;2009;Januar;1236.19;815.99
 ; ;2009;Julij;1280.42;843.17
 ; ;2010;Januar;1248.46;813.80
 ; ;2010;Julij;1300.69;848.75
 ; ;2011;Januar;1335.47;884.70
 ; ;2011;Julij;1312.82;872.53
 ; ;2012;Januar;1340.40;891.90
 ; ;2012;Julij;1272.22;848.62
 ; ;2013;Januar;1266.59;848.49
 ; ;2013;Julij;1283.10;857.12
 ; ;2014;Januar;1304.29;868.48
 ; ;2014;Julij;1312.27;874.27
 ; ;2015;Januar;1328.49;885.72
 ; ;2015;Julij;1345.53;893.20
 ;Brda;;;;
 ; ;2007;Januar;1170.44;785.45
 ; ;2007;Julij;1271.20;838.69
 ; ;2008;Januar;1292.14;848.63
 ; ;2008;Julij;1345.45;887.07
 ; ;2009;Januar;1381.14;903.73
 ; ;2009;Julij;1391.29;916.41
 ; ;2010;Januar;1279.72;854.84
 ; ;2010;Julij;1324.89;889.00
 ; ;2011;Januar;1393.78;928.07
 ; ;2011;Julij;1432.11;954.17
 ; ;2012;Januar;1390.65;930.73
 ; ;2012;Julij;1369.85;922.82
 ; ;2013;Januar;1369.13;931.07
 ; ;2013;Julij;1392.76;939.62
 ; ;2014;Januar;1437.17;1000.36
 ; ;2014;Julij;1387.80;936.45
 ; ;2015;Januar;1439.77;966.85
 ; ;2015;Julij;1388.70;933.54
 ;Brezovica;;;;
 ; ;2007;Januar;1034.78;691.51
 ; ;2007;Julij;1098.54;726.32
 ; ;2008;Januar;1134.05;755.12
 ; ;2008;Julij;1166.65;770.83
 ; ;2009;Januar;1248.78;825.42
 ; ;2009;Julij;1233.08;816.24
 ; ;2010;Januar;1304.29;854.98
 ; ;2010;Julij;1313.30;866.87
 ; ;2011;Januar;1328.98;883.02
 ; ;2011;Julij;1348.95;891.53
 ; ;2012;Januar;1373.45;908.24
 ; ;2012;Julij;1346.62;891.14
 ; ;2013;Januar;1352.60;905.45
 ; ;2013;Julij;1342.49;897.17
 ; ;2014;Januar;1302.28;871.10
 ; ;2014;Julij;1305.37;872.04
 ; ;2015;Januar;1288.77;859.41
 ; ;2015;Julij;1313.68;874.39
 ;Brežice;;;;
 ; ;2007;Januar;1104.09;743.58
 ; ;2007;Julij;1123.44;755.95
 ; ;2008;Januar;1169.23;787.42
 ; ;2008;Julij;1201.71;804.48
 ; ;2009;Januar;1292.75;858.43
 ; ;2009;Julij;1290.62;859.72
 ; ;2010;Januar;1312.58;870.43
 ; ;2010;Julij;1317.95;880.00
 ; ;2011;Januar;1345.55;899.80
 ; ;2011;Julij;1354.62;901.72
 ; ;2012;Januar;1370.79;911.31
 ; ;2012;Julij;1343.57;897.28
 ; ;2013;Januar;1339.94;900.39
 ; ;2013;Julij;1349.40;905.15
 ; ;2014;Januar;1366.08;913.37
 ; ;2014;Julij;1360.66;910.66
 ; ;2015;Januar;1368.91;919.28
 ; ;2015;Julij;1370.88;916.26
 ;Cankova;;;;
 ; ;2007;Januar;1158.19;788.52
 ; ;2007;Julij;1315.30;882.55
 ; ;2008;Januar;1216.31;832.13
 ; ;2008;Julij;1302.63;881.91
 ; ;2009;Januar;1362.62;913.63
 ; ;2009;Julij;1310.18;886.97
 ; ;2010;Januar;1535.87;1016.17
 ; ;2010;Julij;1383.03;929.44
 ; ;2011;Januar;1415.03;951.88
 ; ;2011;Julij;1320.16;891.35
 ; ;2012;Januar;1338.21;901.54
 ; ;2012;Julij;1283.66;868.79
 ; ;2013;Januar;1338.84;906.31
 ; ;2013;Julij;1381.22;935.52
 ; ;2014;Januar;1336.05;904.05
 ; ;2014;Julij;1398.43;945.09
 ; ;2015;Januar;1376.17;929.39
 ; ;2015;Julij;1354.06;912.04
 ;Celje;;;;
 ; ;2007;Januar;1221.40;802.25
 ; ;2007;Julij;1252.71;815.74
 ; ;2008;Januar;1289.78;846.27
 ; ;2008;Julij;1348.81;875.61
 ; ;2009;Januar;1397.80;907.06
 ; ;2009;Julij;1395.61;907.02
 ; ;2010;Januar;1397.82;907.21
 ; ;2010;Julij;1452.52;941.40
 ; ;2011;Januar;1468.05;956.64
 ; ;2011;Julij;1473.04;959.29
 ; ;2012;Januar;1480.81;966.54
 ; ;2012;Julij;1481.62;954.65
 ; ;2013;Januar;1468.57;966.97
 ; ;2013;Julij;1470.45;968.43
 ; ;2014;Januar;1483.77;982.40
 ; ;2014;Julij;1492.27;980.39
 ; ;2015;Januar;1486.46;980.84
 ; ;2015;Julij;1508.84;989.44
 ;Cerklje na Gorenjskem;;;;
 ; ;2007;Januar;1676.19;1027.90
 ; ;2007;Julij;1687.92;1037.14
 ; ;2008;Januar;2249.51;1410.69
 ; ;2008;Julij;1880.83;1150.13
 ; ;2009;Januar;1853.89;1144.37
 ; ;2009;Julij;1857.87;1149.09
 ; ;2010;Januar;1877.81;1163.21
 ; ;2010;Julij;1831.35;1138.77
 ; ;2011;Januar;1806.99;1138.54
 ; ;2011;Julij;1855.58;1166.14
 ; ;2012;Januar;1858.04;1176.04
 ; ;2012;Julij;1895.73;1194.82
 ; ;2013;Januar;1866.18;1183.88
 ; ;2013;Julij;2309.06;1408.67
 ; ;2014;Januar;2264.50;1385.60
 ; ;2014;Julij;2341.00;1421.53
 ; ;2015;Januar;2287.46;1394.88
 ; ;2015;Julij;2360.27;1436.87
 ;Cerknica;;;;
 ; ;2007;Januar;1031.96;697.59
 ; ;2007;Julij;1021.85;687.90
 ; ;2008;Januar;1062.98;718.91
 ; ;2008;Julij;1141.36;765.97
 ; ;2009;Januar;1141.51;766.78
 ; ;2009;Julij;1151.01;770.20
 ; ;2010;Januar;1141.43;767.38
 ; ;2010;Julij;1225.20;817.26
 ; ;2011;Januar;1201.10;806.80
 ; ;2011;Julij;1211.87;814.04
 ; ;2012;Januar;1247.68;836.29
 ; ;2012;Julij;1224.50;824.70
 ; ;2013;Januar;1256.21;848.64
 ; ;2013;Julij;1256.33;848.87
 ; ;2014;Januar;1296.12;868.40
 ; ;2014;Julij;1289.83;865.01
 ; ;2015;Januar;1284.83;861.09
 ; ;2015;Julij;1296.88;869.95
 ;Cerkno;;;;
 ; ;2007;Januar;1104.02;748.73
 ; ;2007;Julij;1054.90;717.88
 ; ;2008;Januar;1151.61;781.58
 ; ;2008;Julij;1167.59;789.72
 ; ;2009;Januar;1149.02;781.48
 ; ;2009;Julij;1133.58;771.73
 ; ;2010;Januar;1141.58;778.84
 ; ;2010;Julij;1201.88;818.31
 ; ;2011;Januar;1148.93;786.52
 ; ;2011;Julij;1191.65;812.87
 ; ;2012;Januar;1240.79;843.66
 ; ;2012;Julij;1232.20;838.15
 ; ;2013;Januar;1258.78;857.22
 ; ;2013;Julij;1288.69;877.10
 ; ;2014;Januar;1217.78;833.15
 ; ;2014;Julij;1289.07;875.56
 ; ;2015;Januar;1247.89;850.85
 ; ;2015;Julij;1286.45;871.89
 ;Cerkvenjak;;;;
